"Co1";"Co10";"Co2";"Co3";"Co4";"Co5";"Co6";"Co7";"Co8";"Co9";"Sa1";"Sa11";"Sa13";"Sa20";"Sa21";"Sa22";"Sa23";"Sa24";"Sa25";"Sa6";"Sa7";"Sa8";"Sa9"
-51.340653;-23.3368725;-4.32964749999999;-11.494145;6.795143;-16.7957425;-53.01046725;-14.01663;-33.6084;15.3612515;-25.30105825;6.8090325;-37.43037175;-19.577434575;-2.52337249999999;-52.5324358333333;-2.62279749999999;2.36057250000002;2.865509;-53.9078675;0.439380000000028;-15.465015;-56.032239875
61.6318283333333;37.5784075;-21.33843195;-17.5676725;-3.3426455;7.57054875;36.8824555;17.40185125;-25.37835;43.4140511;115.6841275;37.729957575;8.585224425;11.1989175;31.003835;-28.285521;19.29873075;73.29818975;122.53833375;-17.034978;7.05375033333333;-13.5755185;41.3474335833333
-3.38214999999997;-53.7259925;-47.6537425;-18.6400525;-29.8450725;-13.823435;-23.791875;-12.992455;-12.8556875;-73.692835;41.240615;-27.82574;-30.7352485833333;-29.3045435;13.40533;-19.1567375;-4.2071175;-18.047010925;-24.1399825;-57.16023075;-0.540391499999998;-62.205626;-8.39634999999998
1.09669083333324;4.5804875;-14.5150525;-7.66002249999997;-10.785145;7.50371250000001;27.698085;23.4732;-44.0870275;2.19715333333329;-4.46281750000003;16.7779225;-2.51035749999997;7.97433750000002;3.47418500000003;3.83369999999996;14.078305;-55.41009;37.0492116666667;-8.06247750000006;22.0857533333333;31.58665;10.8229075
209.3113075;1.84086500000001;-14.19334;18.76683;-7.89965499999994;-6.64187749999999;4.77319249999994;27.48927;-55.6019825;-7.39603999999997;-45.0256725;9.98540000000003;-94.5589015;-31.9160325;7.6877925;23.7992775;52.4998875;-8.08637749999997;-10.4266616666667;-8.29346750000002;7.54294666666667;19.187135;-116.4105075
5.1010325;5.35152999999997;-14.3678685;-3.95177750000002;-47.503913;-16.4162825;-47.8877025;18.4842135;-24.160065;2.972729;-64.9543915;-10.1382285;-44.06314565;-26.020499875;-4.5105475;-31.05551;-12.338595;-24.5859875;51.61635;-26.1802475;10.7355016666667;-13.2338325;-66.2173704
19.913915;-21.6062975;-26.479405;-17.581135;14.6765825;-1.51567250000002;-9.876001;22.781605;-36.3328075;11.414675;-22.9101075;-14.165555;-6.32768416666664;3.46595790000001;-6.51986500000001;-21.69489;12.695455;6.32362999999998;0.489887499999952;-14.20463;13.3060583333333;-70.306784;-0.569195000000008
-11.99865;-92.3251125;16.3433375;4.03080249999999;-33.813335;-15.44807;94.441665;32.6106675;-33.2875675;-38.834905;-36.3853425;32.0844975;13.0475725;-12.85437125;-11.9834125;12.05724;23.9165125;-66.1188275;53.164575;-1.27993000000004;14.4687466666666;47.0298;12.80489
-45.3689391666667;-28.4262075;-43.099745;-20.1449125;-12.6338175;-28.174815;-142.3506775;-71.0552775;-37.4738;-14.2263575;-35.9362416666667;-57.78195;9.6315633333333;-33.592344;0.699877500000014;5.81740500000001;11.75507;-39.94029;-7.68213500000002;-48.9006275;24.2334483333333;4.16103999999999;-30.22756
-11.4285525;-1.78092375;-28.2368775;-31.8613275;-53.5462125;-23.5791635;-75.775965;-59.44872;-9.59291999999999;-17.990125;41.7952233333334;-32.9604633333333;-17.0954600833333;27.585665;4.06683925;-35.538705;-21.25203875;-3.36521355;72.1097316666667;-21.0575245;-10.1965655;11.97562925;2.42397875
-22.841515;58.6329325;21.8524734166667;-16.1670725;-14.38351375;-33.51288525;46.3360325;-7.943080825;-17.25943;-37.81813;96.84478;-9.06755899999999;-10.2311375;77.10497025;16.25217975;-35.11018;21.72571225;32.27334025;68.74075425;-50.175764975;22.1204933333333;-1.13187075;-22.42168
-35.2093401666667;63.32364525;-20.114945;-14.0322625;-43.7210195;-9.66628749999998;27.86178725;-0.52185750000001;-37.8580375;36.40749795;1.44188199999999;0.0247486000000006;-27.4653665;45.5376056;16.75361875;-13.80606525;27.2213765;28.63503925;167.42598325;11.146805;7.39819333333335;18.81591;10.9349255
