"Co1";"Co10";"Co2";"Co3";"Co4";"Co5";"Co6";"Co7";"Co8";"Co9";"Sa11";"Sa14";"Sa20";"Sa21";"Sa22";"Sa23";"Sa24";"Sa25";"Sa26";"Sa4";"Sa5";"Sa6";"Sa7";"Sa9"
18.5;21;-373.75;-10.5;-29;5.75;26;-405.25;-402;-39.25;-24.75;96.5;10.75;-61.5;-248.5;100;9.75;-125.5;-21;-337.25;-23.25;19.25;-31.5;4
81.25;20.75;-145.75;-484.5;5.75;31.25;80;72;-130.5;-117.25;24.75;-134.5;37.75;-5.25;49.5;-215.916666666667;141.25;25;-20.75;-67.75;-11;88.5;-257.75;58
55.5;-35;-54;-301.5;-21.75;2;18;-61.25;-155.333333333333;-332.25;36.5;-76.25;-26.5;0.5;-35.25;-284.75;63.75;21;72.5;-105.25;-72.25;55.75;-250.333333333333;34.5
-10.1666666666667;39.25;-170.75;54.75;-56;35.75;-57.75;-410.75;-350.083333333333;-105.25;-21;11.75;-19.25;-25;-370.25;8.5;-6.25;-72.5;31.25;-285.416666666667;-47.25;58.5;-62.25;-11.75
-43.25;55.25;-117.25;48.3333333333333;-49.5;16.5;-78.25;-308;-234.75;-229;2.75;9.5;-35.5;-10.75;-411.5;0;76.5;-3.83333333333348;32;-197.5;-7.29999999999995;66.5;-80.75;11.5
60.75;5.5;-274.5;-390.5;-24.5;28.75;-41.5;17.75;-122.5;-82.75;-6.5;10.75;-18.25;-10.75;-14;-104;110.5;11.75;-21.75;-238;-2.5;96.25;-98.25;42.8333333333333
0.166666666666742;2.5;-338;-317.5;-30.75;25.75;-0.25;-212.5;-303.5;-54.75;-32.5;67.75;6.5;-37.25;-291.75;0.25;42.75;-67.5;0.25;-302.25;-9.33333333333326;21.25;-37.25;24.25
38.4166666666665;-11;-345.5;-20.75;28.5;24.75;19.5;-485.75;-467.666666666667;-95;-21;50.75;-21.5;-45;-254.5;33;28;-63.25;37.5;-308.5;-33.75;3.25;-8;11.25
-1.75;18.25;-372.5;-163.5;16.75;37;-28.25;-437.75;-405.25;-23;-0.5;84.5;39.75;-59.75;-265.25;26.75;51.25;36;-29;-349.5;-19.5;31.5;24.75;-23
23.75;2.5;-15.5;-289.5;9.5;34.25;2.75;28.5;-98.5;-390.75;58.75;-62.75;-30.75;1;30.25;-307;74;59.25;58.75;-59.75;-60;46;-282.75;50.25
25.1666666666667;-5.75;-40;-394.5;-7.25;25;-16.75;52.5;-90.6666666666667;-261.5;85.75;-75.75;-31.25;-16.25;127.25;-348.833333333333;52;28.5;-6.25;-6.5;-51;58.75;-292.5;52.25
NA;-2;-86.25;-489.5;-24.75;18;-0.25;21.25;-92.75;-239.75;64.25;-126.25;-30.75;-13.25;52.6666666666667;-310.916666666667;32.75;-57.75;-20.5;-9;-47.3333333333333;4.75;-314.75;39.5
