"task";"participant";"fitHead";"fitTrunk";"fitRoom"
"crazy";"Co1";240.306544192693;217.662859488487;140.815134420358
"month";"Co1";NA;NA;NA
"crazy";"Co10";230.127289160786;85.9456541411904;136.572105013053
"month";"Co10";200.051015035763;77.2811659919327;123.951001498378
"crazy";"Co2";84.4759501972859;423.024820684679;271.096822827957
"month";"Co2";144.289905818895;473.199575524487;309.571372413951
"crazy";"Co3";132.735434933578;467.117454460709;263.505805089796
"month";"Co3";85.8735530961873;456.712195840873;270.808100443672
"crazy";"Co4";118.630895519035;209.566788740297;121.038619364844
"month";"Co4";158.004519846069;172.877166227918;53.504843459448
"crazy";"Co5";274.751319271692;283.015577690311;79.8895938672097
"month";"Co5";237.418366831466;249.585894580008;87.1878989863605
"crazy";"Co6";237.765196956778;197.407098015296;115.143272240789
"month";"Co6";309.814349714395;120.111674238019;194.941375460896
"crazy";"Co7";163.379540161918;201.109457275331;121.42201815722
"month";"Co7";144.17292594389;357.231262192594;225.077668446119
"crazy";"Co8";245.493659553711;378.628703780691;253.540756312543
"month";"Co8";150.224104838798;437.317848998032;239.196200655396
"crazy";"Co9";245.232959755794;223.605616349747;105.126093462384
"month";"Co9";162.629788113303;339.121400237477;204.94693647987
"crazy";"Sa1";239.338702823046;184.856405124062;89.6284348029846
"crazy";"Sa11";174.653037393171;154.837848822388;67.0317906644735
"month";"Sa11";184.277878712051;61.2742536775793;116.912610379527
"crazy";"Sa13";110.102027158461;456.878632399923;293.566494312965
"month";"Sa14";246.497122169867;99.3506588192446;218.876788512455
"crazy";"Sa20";238.712827463556;91.6791781865294;141.756429951505
"month";"Sa20";285.975267042913;81.3471249151766;165.678350113735
"crazy";"Sa21";99.8586574630002;183.76922977568;104.358194554568
"month";"Sa21";121.121307142862;212.23938708801;125.079175147276
"crazy";"Sa22";161.849759595483;297.668309184272;162.3334728162
"month";"Sa22";125.245834553371;273.323783811887;180.452870579533
"crazy";"Sa23";161.743648701403;181.859727417387;42.7876492470011
"month";"Sa23";69.2316858337806;272.996794021597;204.073096582302
"crazy";"Sa24";215.234177816287;90.2211618889786;112.81660970527
"month";"Sa24";193.515496557049;128.878282386054;180.803104645566
"crazy";"Sa25";387.635460679858;149.887983550299;288.645122343498
"month";"Sa25";350.609135407272;181.391649498756;289.292378805391
"month";"Sa26";194.241185653121;66.9907092818974;124.827859641578
"month";"Sa4";73.2699518955982;421.86637544671;243.560277687313
"month";"Sa5";144.125394547183;147.454630159859;107.863421541146
"crazy";"Sa6";70.8984559306629;268.358106033584;171.683132097437
"month";"Sa6";348.759408512826;72.2117671243463;195.647377053172
"crazy";"Sa7";76.4116980288541;482.449223255969;304.393602387453
"month";"Sa7";93.1536027498564;455.411423443439;278.002601252489
"crazy";"Sa8";195.133906980195;189.82175802738;55.9436918473793
"crazy";"Sa9";107.4896812454;177.546922412388;151.93054403216
"month";"Sa9";171.885181769371;159.311774771751;46.493580819843
