"participant";"type";"dist"
"Co1";"control";98.4035094356192
"Co10";"control";194.422876949683
"Co2";"control";56.1318967422378
"Co3";"control";196.696466006269
"Co4";"control";73.3958756893381
"Co5";"control";63.8130853658945
"Co6";"control";259.115670053652
"Co7";"control";106.328101494087
"Co8";"control";138.448568861106
"Co9";"control";113.700314092534
"Sa11";"synaesthete";215.215218622461
"Sa20";"synaesthete";112.152528164249
"Sa21";"synaesthete";47.6708756427352
"Sa22";"synaesthete";136.48090235707
"Sa23";"synaesthete";95.0665882356677
"Sa24";"synaesthete";383.704351827077
"Sa25";"synaesthete";167.91747653959
"Sa6";"synaesthete";331.208051359934
"Sa7";"synaesthete";162.565277770827
"Sa9";"synaesthete";97.9172852333987
