"task";"participant";"fitHead";"fitTrunk";"fitRoom";"typecolour";"group"
"month";"Co1";NA;NA;NA;"green";"control"
"crazy";"Co1";229.548862488576;185.256046118303;141.646468598074;"green";"control"
"month";"Co2";164.185402852859;455.169268219699;309.571372413951;"green";"control"
"crazy";"Co2";104.794398041242;411.715150019034;271.096822827957;"green";"control"
"month";"Co3";92.0396615949101;441.649472162202;270.808100443672;"green";"control"
"crazy";"Co3";138.925577607611;454.804268498601;263.505805089796;"green";"control"
"month";"Co4";142.102846693613;164.635746392585;53.504843459448;"green";"control"
"crazy";"Co4";103.68244721374;201.545249686596;121.038619364844;"green";"control"
"month";"Co5";214.380363312518;235.992261725385;86.1156998403165;"green";"control"
"crazy";"Co5";252.987326033496;270.242603037457;79.8895938672097;"green";"control"
"month";"Co6";302.504370793095;130.063747595702;194.941375460896;"green";"control"
"crazy";"Co6";223.414551589786;186.673222554655;115.143272240789;"green";"control"
"month";"Co7";153.218888371338;337.098675971195;230.650826000336;"green";"control"
"crazy";"Co7";151.810927730596;193.06737296908;121.42201815722;"green";"control"
"month";"Co8";155.930732760054;432.683793408784;248.348227311676;"green";"control"
"crazy";"Co8";240.73000038893;360.916977093519;253.540756312543;"green";"control"
"month";"Co9";164.461549953432;327.608757706446;204.94693647987;"green";"control"
"crazy";"Co9";230.320007312855;212.21029279397;105.126093462384;"green";"control"
"month";"Co10";186.363281336345;59.2261215647377;123.951001498378;"green";"control"
"crazy";"Co10";211.839407379008;72.9936621831309;136.572105013053;"green";"control"
"month";"Sa4";82.9007448752011;401.783232322084;244.091098874894;"green";"synaesth"
"month";"Sa5";123.766796338155;127.787545774169;108.854888891314;"green";"synaesth"
"month";"Sa6";328.709899976378;70.5714663808596;195.647377053172;"green";"synaesth"
"crazy";"Sa6";90.3019532655303;250.974299802473;171.683132097437;"green";"synaesth"
"month";"Sa7";108.21352305377;437.286520987771;278.002601252489;"green";"synaesth"
"crazy";"Sa7";103.848023712154;460.658789782311;310.292953980252;"green";"synaesth"
"month";"Sa9";151.938507797293;143.57850309775;46.493580819843;"green";"synaesth"
"crazy";"Sa9";94.0972129133814;160.716776913934;151.93054403216;"green";"synaesth"
"month";"Sa11";166.769512034218;47.4701723971844;116.912610379527;"green";"synaesth"
"crazy";"Sa11";154.424345625303;135.096142589925;67.0317906644735;"green";"synaesth"
"month";"Sa14";233.327701387341;171.475195437375;215.081990284108;"green";"synaesth"
"crazy";"Sa1";220.207568490312;165.825433406859;89.6284348029846;"green";"synaesth"
"crazy";"Sa13";129.566447564771;441.215500189262;293.566494312965;"green";"synaesth"
"crazy";"Sa8";173.152254711283;174.15078752537;55.9436918473793;"green";"synaesth"
"month";"Sa20";269.8013989546;96.4963092324283;165.678350113735;"green";"synaesth"
"crazy";"Sa20";220.197195914517;105.395522676306;141.756429951505;"green";"synaesth"
"month";"Sa21";126.074364136683;209.861019075181;125.079175147276;"green";"synaesth"
"crazy";"Sa21";102.57887145356;179.23718308747;104.358194554568;"green";"synaesth"
"month";"Sa22";122.628702575111;267.368878132644;180.452870579533;"green";"synaesth"
"crazy";"Sa22";145.051247269576;289.996460830074;162.3334728162;"green";"synaesth"
"month";"Sa23";87.6863871553759;257.363956396047;204.073096582302;"green";"synaesth"
"crazy";"Sa23";139.874647541575;165.127683917316;42.7876492470011;"green";"synaesth"
"month";"Sa24";193.524516919075;106.633556891946;180.803104645566;"green";"synaesth"
"crazy";"Sa24";192.779417953613;71.1201251694162;112.81660970527;"green";"synaesth"
"month";"Sa25";345.794103563554;187.338860661324;289.292378805391;"green";"synaesth"
"crazy";"Sa25";368.890325906824;166.420703777935;288.645122343498;"green";"synaesth"
"month";"Sa26";177.579720488906;48.8797879862354;124.827859641578;"green";"synaesth"
