Id;Months;Crazy;Mini;2D;type;round
Sa1;0;1;1;1;syn;crOnly
Sa4;1;0;0;0;syn;mOnly
Sa5;1;0;0;0;syn;mOnly
Sa6;1;1;1;1;syn;both
Sa7;1;1;1;1;syn;both
Sa8;0;1;1;1;syn;crOnly
Sa9;1;1;1;1;syn;both
Sa11;1;1;1;1;syn;both
Sa13;0;1;1;1;syn;crOnly
Sa14;1;0;0;0;syn;mOnly
Sa20;1;1;1;1;syn;both
Sa21;1;1;1;1;syn;both
Sa22;1;1;1;1;syn;both
Sa23;1;1;1;1;syn;both
Sa24;1;1;1;1;syn;both
Sa25;1;1;1;1;syn;both
Sa26;1;0;0;0;syn;mOnly
Co1;1;1;1;1;con;both
Co2;1;1;1;1;con;both
Co3;1;1;1;1;con;both
Co4;1;1;1;1;con;both
Co5;1;1;1;1;con;both
Co6;1;1;1;1;con;both
Co7;1;1;1;1;con;both
Co8;1;1;1;1;con;both
Co9;1;1;1;1;con;both
Co10;1;1;1;1;con;both
